,city,city_id,country,max_temperature,wind_speed,Cloudiness,Longitude,Latitude,Humidity
0,Kassala,372753,SD,62.92,9.1,15,36.4,15.45,78
1,Rikitea,4030556,PF,75.6,13.91,6,-134.97,-23.12,81
2,Chui,3443061,UY,60.96,6.89,51,-53.46,-33.7,88
3,Bethel,5282297,US,28.99,7.02,46,-73.41,41.37,78
4,Acuitzio,4000821,MX,58.8,5.06,96,-101.98,20.34,77
5,Katsuura,2112309,JP,62.01,5.82,20,140.3,35.13,51
6,Hobart,2163355,AU,62.6,25.28,75,147.33,-42.88,39
7,Champerico,3598787,GT,66.0,1.88,5,-91.92,14.3,96
8,Karratha,6620339,AU,85.59,17.63,96,116.85,-20.74,61
9,Mar del Plata,3430863,AR,64.0,9.17,0,-57.56,-38.0,72
10,Qaanaaq,3831208,GL,-4.99,3.78,66,-69.36,77.48,85
11,Busselton,2075265,AU,79.81,2.68,0,115.33,-33.65,35
12,Vaini,4032243,TO,84.2,11.41,20,-175.2,-21.2,74
13,Saint-Philippe,935215,RE,75.2,2.24,75,55.77,-21.36,69
14,Bengkulu,1649150,ID,82.35,4.09,83,102.27,-3.8,68
15,Nāgar Karnūl,1262230,IN,66.99,9.51,42,78.32,16.48,77
16,Palmer,4946620,US,30.2,4.7,90,-72.33,42.16,58
17,Radišići,3192123,BA,46.4,2.24,75,17.54,43.22,93
18,Pevek,2122090,RU,7.88,4.27,8,170.31,69.7,90
19,Puerto Ayora,3652764,EC,73.99,5.99,49,-90.35,-0.74,91
20,Evensk,2125693,RU,11.89,7.67,100,159.23,61.95,95
21,Bluff,2206939,NZ,63.0,20.0,7,168.33,-46.6,67
22,Punta Arenas,3874787,CL,55.4,10.29,100,-70.92,-53.15,71
23,Ushuaia,3833367,AR,44.6,18.34,90,-68.3,-54.8,87
24,Zheleznodorozhnyy,463355,RU,16.0,4.47,0,38.0,55.75,85
25,Grenå,2621230,DK,44.6,6.93,97,10.88,56.42,75
26,Tuktoyaktuk,6170031,CA,3.2,8.05,90,-133.04,69.45,84
27,Mataura,6201424,NZ,63.0,20.0,18,168.86,-46.19,67
28,Cayenne,3382160,GF,77.0,2.24,100,-52.33,4.93,100
29,Tasiilaq,3424607,GL,14.0,3.36,0,-37.64,65.61,61
30,Bredasdorp,1015776,ZA,64.4,5.82,64,20.04,-34.53,93
31,Dubai,292223,AE,73.99,9.17,40,55.3,25.26,49
32,Ulaangom,1515029,MN,-4.02,3.91,73,92.07,49.98,86
33,Bucerías,4016734,MX,75.2,3.36,40,-105.33,20.75,83
34,Morant Bay,3489440,JM,82.4,3.36,40,-76.41,17.88,74
35,Cape Town,3369157,ZA,64.99,10.29,75,18.42,-33.93,93
36,Kapaa,5848280,US,82.4,13.87,40,-159.32,22.08,69
37,Ostrovnoy,556268,RU,32.94,9.28,100,39.51,68.05,94
38,Almaznyy,582447,RU,14.0,15.66,20,40.05,48.04,78
39,Fethiye,314967,TR,51.8,5.82,40,29.12,36.62,100
40,Saldanha,3361934,ZA,59.0,8.05,36,17.94,-33.01,93
41,Half Moon Bay,5354943,US,64.4,7.67,5,-122.43,37.46,41
42,Sa Kaeo,1906691,TH,73.89,8.21,100,102.33,13.75,68
43,Paita,3694112,PE,68.63,13.31,100,-81.11,-5.09,81
44,Hasaki,2112802,JP,59.0,9.17,0,140.83,35.73,66
45,Mandalgovi,2030065,MN,-5.6,9.04,0,106.27,45.76,84
46,Atuona,4020109,PF,78.75,16.13,1,-139.03,-9.8,73
47,Naze,1855540,JP,69.8,17.22,75,129.48,28.37,68
48,Linguère,2249281,SN,71.94,11.05,99,-15.12,15.4,33
